student_id,baseline_risk_prob,baseline_risk_category,followup_risk_prob,followup_risk_category,risk_change,risk_change_pct,status,actual_dropout_6m
3491,0.6059970653660494,High Risk,0.4452917646959143,Medium Risk,-0.16070530067013505,-26.51915493568634,Improved,1
5268,0.9228928685254538,High Risk,0.6291106598982108,High Risk,-0.293782208627243,-31.83275314464524,Stable,0
3175,0.8025966679962728,High Risk,0.790306489531277,High Risk,-0.012290178464995805,-1.531301954651633,Stable,0
259,0.72926216630837,High Risk,0.7358922891352427,High Risk,0.0066301228268726975,0.9091549148141516,Stable,1
6416,0.48581025224334007,Medium Risk,0.6425201092163343,High Risk,0.15670985697299422,32.257420721228215,Worsened,0
2556,0.48579698618491146,Medium Risk,0.4626149420576235,Medium Risk,-0.02318204412728797,-4.771961289703034,Stable,1
2886,0.4319459866925097,Medium Risk,0.27165829879219594,Low Risk,-0.16028768790031378,-37.108271135395015,Improved,0
4747,0.8763968801762143,High Risk,0.9165848665623005,High Risk,0.04018798638608623,4.5855921324144555,Stable,1
381,0.7306132564587648,High Risk,0.9205085115619733,High Risk,0.18989525510320848,25.9912140143225,Stable,0
2661,0.7894399177878251,High Risk,0.6874290591894943,High Risk,-0.10201085859833081,-12.921928103684758,Stable,0
1047,0.41132147186269136,Medium Risk,0.41059357422633563,Medium Risk,-0.0007278976363557232,-0.17696563057099832,Stable,0
945,0.9334504186890968,High Risk,0.6877036217855823,High Risk,-0.24574679690351453,-26.32671130499167,Stable,0
2553,0.8578434524402319,High Risk,0.8820977087873177,High Risk,0.02425425634708589,2.82735227250286,Stable,1
2360,0.5167865108730519,Medium Risk,0.4952225601298438,Medium Risk,-0.02156395074320816,-4.172700000775624,Stable,0
5798,0.5000037319639054,Medium Risk,0.4993366435267506,Medium Risk,-0.0006670884371547392,-0.13341669161839287,Stable,1
4425,0.5008724804193886,Medium Risk,0.5004070193405683,Medium Risk,-0.000465461078820284,-0.09293005645479782,Stable,0
4448,0.5673332336277457,Medium Risk,0.5921725834746187,Medium Risk,0.02483934984687297,4.37826454974983,Stable,1
5762,0.6886160373977308,High Risk,0.7779715350646199,High Risk,0.0893554976668891,12.976098843785591,Stable,0
6354,0.6375697602531637,High Risk,0.4212480847448537,Medium Risk,-0.21632167550831,-33.9290990561431,Improved,0
1479,0.5601760271089231,Medium Risk,0.387522486120665,Medium Risk,-0.17265354098825814,-30.821301275480433,Stable,0
3865,0.7365190920973087,High Risk,0.5698933365710092,Medium Risk,-0.16662575552629955,-22.62341293174312,Improved,0
3591,0.476721623358623,Medium Risk,0.31131439642969744,Medium Risk,-0.16540722692892557,-34.696816511823044,Stable,1
5054,0.56067955669437,Medium Risk,0.5647012019552468,Medium Risk,0.004021645260876783,0.7172805237607419,Stable,0
5498,0.6014990138115304,High Risk,0.5154752024164484,Medium Risk,-0.08602381139508197,-14.30157147722874,Improved,0
6048,0.6508384913193698,High Risk,0.5386052067218896,Medium Risk,-0.11223328459748017,-17.244414104943697,Improved,1
5470,0.8318467787661574,High Risk,0.6786529499645039,High Risk,-0.15319382880165355,-18.41611132147189,Stable,0
4281,0.5098205801870979,Medium Risk,0.37197932538214373,Medium Risk,-0.13784125480495413,-27.037208806746893,Stable,1
6133,0.6828289411274864,High Risk,0.9155048920368966,High Risk,0.23267595090941018,34.07529132043172,Stable,1
1123,0.7258280128741234,High Risk,0.7239037993390299,High Risk,-0.001924213535093422,-0.26510598943046426,Stable,1
2201,0.42554772699599874,Medium Risk,0.4156314293053993,Medium Risk,-0.00991629769059943,-2.3302433690810593,Stable,0
